id	query	answer
0edf4e67b33906e690dc45a9abae06c34ca3e13a	How long did the survivors live in the forest?	Two years; Two years
0ef5efeecf9cddb676e5a2072bd4a04d085fe2fd	What government does Thorne work for?	the Italian government; Italian Secret Service
0f849890e27fd05b9a8683d111f489515db72ea4	Who is Agave and Cadmus' son?	Pentheus; Pentheus
0fe1c42d024d1d3f001a9aadb400512ecbda2b9f	How does Lena get injured?	Barry's car is rammed by the brothers; Car accident
0fec426130719e5a0ede16a2944f437415917462	What items do worms swallow to aid in digestion?	Stones; stones
0ffdd0e4abb67f0012a68d719a2d509ee8ec643d	What does Hanna do when he pulls McCauley over on the freeway?	Hanna invites McCauley to have coffee with him.; Invites him for coffee
105672e2bb1bcc9dd50e90822ca49a66876ac198	Where do the Virginian and Molly travel to?	Vermont.;  Traveled to the mountains and to the East and back to Vermont.
10910853a653d0e6ef540a1a3cc63ef2746a798c	What does Morgan find out about the gun Danny is holding?	It is empty.; It's empty.
10b8636838cdba5f0389d9d88b2ff83194491166	Where did Robbie stand in his graduating class?	Robbie was the class Salututorian.; Robbie is the Salutatorian of his graduating class, standing in the front for his speech.
10c992498cf8bea350d6209b4b8f1d0437440694	What does William Cecil use to blackmail de Vere into marrying his daughter?	He uses the fact that de Vere murdered a servant.; The fact that he murdered a servant lurking behind a curtain.
10d52d13b492d0e2319b8b5d3349ce4f9eaf26d4	What relation is Roman to Sidney?	Half brother; half-brother
11545d73892f9fedd42044f9fa098de4bf33ec18	What is the protagonist's name?	Crawfurd; Crawfurd
11ac9bf7f55ee9d40df3c0ba117c6914dd6ed9e6	Why was Raffle always invited to huge social events at the beginning of the story?	He was a famous cricketer ; because he was a famous cricket player
11b6316f6d094ce0455e24aa3a3e8efe576676dc	Which disguise did Soot use to escape the hotel?	he dresses like hotel security; Hotel security 
11bea904fdb02ad88a14a724e901f819e952784f	"Why did Gadsby help form the ""Organization of Youth""?"	He was shocked at how his hometown was declining.; To improve the living standards of the town and rally the civic spirit of the pepople. 
11fd944eb62dfdbf040dce9f4192dd6b6e69c352	Why does Mrs. Jameson have to remove the ivy she planted on the homes?	because it was poison; Because it is poison ivy
120f3a2285b2a742f63b95f7e1fee5e498d08cb0	What secret is discovered about the island?	It is Captain Nemo's hideout; It is Captain Nemo's hideout
1225b1acc92c2554e91c09639f86c1d75f8e9161	How many corpses are at the end?	3; Three
1284e77a2d72ec3a45540ada5416917eddd9f954	At what point in the story do Debbie and Larry reconcile?	At the hospital; At the hospital
1293e302d550212888b015208783397e6f78296c	What happened to Bower's wife?	She divorced him, stayed on Earth, and disappeared with the rest of Earth.; She divorced him and stayed on Earth
12d6955c88a3d48c00cde7853e47a4dcd5020b60	What is the title of this story?	Elsie Venner; Elsie Venner
1343fe0f3a4293a8d5a214cd30e857f9abe77ebb	What did the Wicked Witch of the East enchant?	The Tin Woodman's sword; The Woodman's axe.
139004cd2411c6909a752ecf897d326ed8bf419c	What order does Willard leave for Chef in case they do not return?	Call for an airstrike; Call in an airstrike.
141a5885bb6d8df56dadbd617b5dec7db102701d	What does Mookie throw through the window of the pizzeria?	A trash can.; A trash can
14add440692bd1e8fbb8c2df367ba4cb27426383	Why does Falco stand Annabelle up on their date?	Because of his depression.; He was depressed..
14cf73f1ec951d3a30810cb0b36d510124c71ec6	What does he tell about modern science ?	The relentless systematic criticism of phenomena. ; It regards the ability to predict the future to be a criteria of validity 
14d3ae5cbf989a9176c4ceda975b193338a2de84	One of the jokes of the Novel is that Tristram can not? 	Explain anything simple.; cannot explain anything simply
14ed79ad4d7dbda55c43a696dc1366a71605ac58	How did Beverly Weston die?	He drowned; She drowned
150683ab8156bdc78ebd23a2ed7f7e265b780bd0	Who does Sam speak with at Ida's party about his transfer?	Mr. Helpmann; Deputy Minister Helpmann.
1508452704b5829941b98aeee2eeba192f5beae5	Who tried to kill Martin in the convenience store?	Felix Lapoubelle.; The Grocer.
15e5cdd93340ecf4ab97248e15f3870eb26bf10b	How does Spock incapacitate to gain acces to the engine room?	The Vulcan nerve pinch.; vulcan nerve pinch
1625d7038823e0ca81c39675c3ea7fe31f7fbe04	How is Sandy resurrected?	Through the strength of Jack and Jamie's and their friends' dreams.; Jamie's friends believe and their dreams overpower him
163d8710f230dc6730ce9feb4019d1e16842ee3b	Where does Naula hide the final piece of the crown?	in a book; In one of Abe's books.
166e4604f74997601e16793ca5af0f54bc2cc81c	What is the last thing the apartment residents do?	They get in their cars and drive away ; They leave in their cars 
167ec212289f7c34823629931c967090650c10dc	What is the name of the undercover Secret Service agent?	Isabella Molina; Isabella Molina.
16a6a06abf4ff93fe3143b66c45dbeae6550816b	Who does Mike have to move in with after him and his wife seperate?	His bestfriend, Ned Gold; His best friend Ned Gold
16d75b7fbd36243f7315988d26324a1e6e0155ad	What does Terrence tell Carl at the end?	There is no convenant.; A covenant never existed
17272570cdcbfce7fda86ae35332b1fcae569c30	What was the name of the tv show ?	americas funniest divorce videos; America's Funniest Divorce Videos 
173b52e21786674aef19e640355e4a6fc869b34e	What musical instrument did Bobby's brother play?	The violin.; Violin
17423260aeaf5dede7a635b123708948eaa7ef4a	Which wish leads to the gamekeeper meeting the children's housemaid?	their wish for wings; They wished for wings
1773a177343713782c2437b460f5399aae80e18c	Who goes to America with his wife?	Adam; Adam Verver, Maggie's father. 
18264a6652a30bf237730ce768fb270ddf575ac9	Who shoots Berlin?	Margie; The killer
1853a60c054cce3f34f9969c558141580b925085	Who does Chris bludgeon to death?	Dog; Dog
188018ccc8e85acfd097bc4f502a7f9463af2ca1	Who are the righteous and the unrighteous brought before?	Jesus Christ to be judged; Jesus christ
188e11abcd525cfdb83f68276a23e8de20534d3c	Where was William originally imprisoned?	Newgate; He is originally imprisoned in Newgate.
18bcdf16fb896faf7fb36db6b752f16f0343ad24	What was slack's occupation, before her near execution?	A hooker; hooker
1905d5891ab7c5797b3b59ccf1c206059ed73888	During rescue operations after the mine explosion, what are the bosses intent on recovering?	Tools and equipment. ; equipment and tools
1915f92c4152b867fa9bee83e61b901983f8a3ea	What does Philip do while fighting in the Napoleonic Wars?	He saves Charlie's life.; He saves Kincaid's life.
193805049ab9d8f8f745cee9d77d8d2ea8cc9a2d	Who was Marie de Vionnnet?	Jeanne's mother.;  lovely woman of impeccable manners
197c316d6255c3f1542b55d366023a8ce2867e16	How did Eugenie feel after Charles broke their engagement?	She was heart broken.; she is heartbroken
1995b44b685baf07ae17d56bb810ab8295785010	Why did Mal kill herself?	She thought she was still asleep.; she was trying to wake up
19eb3ac68eb7fcdc2164cfe0c635c595fed660d5	Who was Debbie Salt?	Billy Loomis' mother; Billy Loomis' mom.
19f65d45dd5159fb960036276b7cdb306dd2b029	Why does Juliette get arrested instead of Deruelede when the soldiers find the papers?	Because she had Deruelede's burnt papers in her letter box; Because the papers were in her room
1a020bc35fe8ff93de0a570f7cf70e958880241c	What causes Marianne to fall ill?	She goes outside to see the Willoughby's estate when it begins to rain and ends up getting deathly sick.; Being caught in a rain storm.
1a26b476901a0785835b0ebeecaae3a212b026ef	What is Felix Graham's occupation?	A barrister/lawyer.; barrister
1a4bf3d813fdfe2b40787c3ba6bf913b15d0170a	What does Langdon take from Richter's hand? 	A key. ; a key
1a7119c0cbb4a82b93913600187c98fc9dfa52b0	Why does Rose stab Arthur? 	Arthur raped Rose and got her pregnant. ; He raped her
1a8098e49cbf3df223c434c5d134bf9453a5a82e	What happens to John Rowland after he is rescued after the wreck of the Titan?	He is arrested after being accused of kidnapping the girl he saved.; He is arrested for kidknapping.
1ae5346d34d86c974f8893001ca8bd6bb99d750c	Where does Anthony's money presumptively come from?	He is presumptively the heir to a tycoon's fortune.; He's heir to a tycoon's fortune
1b0fb60ae65cb97ab4278e4296de48583fdaa269	What happens when Dick Kanipsia goes to visit his friend Harry?	He finds that Harry is dying from a gun shot wound.; he is shocked to see Harry get shot
1b3fb96b3e151a856c7846d05cfca170408dce08	Why does Valentina willingly give her soul to Mr. Nick?	She is angry at her father for his lies and deceit; She is angry with her father for trading her away and not telling her about it.
1b458192e39bd7fdf10e69d6b975844a211e72a9	Why did the Brits attack the village?	To retaliate against the natives for the loss of the Arangi; To get back at them for the loss of the ship.  
1b48982220584874f6abed587219f6d73e85abd8	Where did Simon state that war was unavoidable?	On an interview with BBC radio.; Middle East
1b8ca5c74e79ccf56eee42155d467c89c8445019	How does Dr. Stone attempt suicide?	By turning off the oxygen.; Shut's down the cabin's oxygen supply
1bf46ea21ef903f8d75bd213ea9cc39ae8f4be18	Why does Sir Thomas Waldron's death come as a surprise to everyone?	Because news of his illness was kept secret; He was suffering from a terminal illness and it was kept from everyone.
1c2beb941aa7e22acbbf8ce285e0a999d27a493b	What ultimately happens to Paul at the Kittredge's house?	He is kicked out; He is kicked out.
1c5ca93baf311815addd6b6fa1cdb23dd8c35b4a	What two parties have a long standing feud in the story?	The Werewolves and the Vampires; vampires and werewolves
1c64744acb7e41887938c2e9b0cf6b2f85e92921	Who builds the public works of Asgard?	The proletarians.; the oligarchy
1cb9eac7e7352cd7cac800000c09c244ae2ce13f	Who else do the Lensman recruit to their cause?	They recruit a great deal of aliens, represented by a great many different species.; representative members of as many species as possible from the bizarre life forms they meet on alien planets
1cd10ef62761249191e07136775470b7f72cfcec	What does Emil plan to do with the tape of him killing Flemming?	Emil plans to sell the tape to Top Story; Sell it to Top Story
1d6b5926027e0ce1ae376bbd4798fa6a93c7a548	How long was Henry in jail for when he was an accomplice to the bank robbery?	18 months; Eighteen Months
1dcd41b8faacf141817133954ff78291593520b5	How did Hester Dethridge kill her husband?	She smothered him.; Dismantling part of the wall of his bedroom and then smothering him.
1ddea1c3f13183fbe029834b5a3ab505600c5dfa	Who is the only witness that can clear Fred of the embezzlement charges?	The dictabird; The dictabird
1e04f3b20834b9f38a91ef92cbceb5c666896615	What did all the talking on the radio turn out to be when they thought they were hallucinating?	People trying to help them.; Crew members of a ship named Gloria that found the men.
1e44e31fb8bb26dc8aae3ca3cd7131acb59a447f	Where did Gerard and Margaret live before setting off to Rome?	In Holland; Holland
1eab58c1185799f4cfc2e02a947e745511ac2678	Who ordered the submarine to be to be destroyed?	Queen Victoria; Queen Victoria
1f3c4d904224764b1305205dfa99eae47c63240b	Where do the Englishmen find Sir Henry's brother?	Stranded at an oasis with a broken leg.; Stranded in an oasis.
1f72c35054e8f6072d17032074496f0a60ff493a	What does this tragedy encourage humans to do?	Put a higher value on life; humanity places a higher value on life
1f8e03c7b6a6864108933fba1906455f78e4cfa6	Which war is this story referring to?	World War Two.; World War II
20116217c4fc04e5d6713f5441b5472c803d5142	What holiday does everyone celebrate together?	Christmas; Christmas
20f1cc76a6b149b417e0d9943c7f2caac3a04875	Who does Cedar bring from Mandrake Falls to testify at Deeds' hearing?	Ceadar brings Deeds' tenants, Jane and Amy Faulkner. ; He gets Deeds tenants and olde sisters
2101dfafc654880e081ab5d54326a0fc9d4809f2	Who is the princess of Bulika? 	Lilith ; Adam's first wife, Lilith 
21140bb7b7f2e0c9ccadf799b60b577685c42647	How does Paul defeat the Emporer's soldiers?	He rode in on sandworms and used the sonic weapons he taught them to build; Using his Fremen warriors
2114ee4681976de8a9d75d0e411ccc47bfa1caa3	WHO WAS THE GIRL KALE SPIED ON?	ASHLEY CARLSON; Ashley Carlson.
216a7a5535571aae2842944a3529fae1f664cb0f	Lebat says he will free Marie in exchange for what?	Her promise to marry him; Her marrying him.
21f3fcbf22d864a5d6a0c3830df19459d402706c	What does the missionary believe the Auks are when he finds them?	Noble pagans; Pre-Christian pagan humans. 
2209f93b0dc6420ccff949132228eebef584f72b	Why was Chichikov previously fired from his mid-level government position?	Corruption.; corruption
229bcf6a72dbf68b2b074ab4266fa677da43f68d	What was the topic Alfred wanted to write about?	Responsibility; Human Responsibility
22d80f4823a64ed818417fcf2d172222f0f18bbf	Why does Marcus decide to rebel against the DHS?	He feels his civil rights and personal liberties are being violated.; he was wrongfully imprisoned
23a2429513ec7b1bc1e372d190ac897180a1bb60	Who is Winter?	The descendant of the toymaker who designed the box.; leader of the cult
23caf2203f0ae5aebe42e9c636222ba6d3e3c433	What happens to Powers and Kensington when they enter the Virtucon Headquarters?	They are caught by Random Task.; They are placed in a death trap
23d714a29b2f616294786c502de251845f10e4ef	Who does Arabella marry?	George.; George
23fa36d9def95414a50968d216460d52f3dd3653	When Cleopatra comes in and sees Antony dying what does she do?	Cleopatra commits suicide as soon as Antony dies. ; commits suicide
240ce3ba97e6969e93aa7e23bd384be181c49387	What is the name of the new ship built to fight the Fenachrone?	Skylark Three is the new ship.; Skylark II
249d8fe6a6e81a8da422d5b7bdd9bf1c52aaa2fc	What was the final score for New Zealand in the final?	12; 12
2527b96b0a25841507a88966736c4e40181db6c9	How old is Belinda Boyd when she and Ali marry?	She is seventeen.; seventeen
254ce2e2522625e70a10c88ef265769083049b46	How did Dorothy and Toto got home?	Ozma used magic to wished them back home.; they were wished there by a magic belt
25643d5e536303284b5c4148ab4243671580adeb	What happen when the FBI arrested the mob bosses?	The bosses tried to kill anybody who was involved; The casino empire crumbles.
25827f8dc98f34529b019ac26dda8ef7d76f241d	Why is Harley assigned several legal guardians?	Because he loses his parents; His parents die
265fa34cf1f2c6145cce7ee9402bb3af6d898624	What is Sam's condition that is revealed to Andrew by Sam's mom?	Epilepsy.; Epilepsy
266f5b2295980ad31b5090a6c51b69055c87b3a7	Who intends to propose to Elle at the end of the story?	Emmett; Callahan
269ffd1de413e4556ac009ffabd821a869fdf75d	What did Pascal and Coltilde have?	A baby boy; A son
26b13fb4ac397ec6d550e209c9979116de71f467	What country does Penny fatasize about visiting?	Morroco; Morrocco
26d28abf2a82bf87357e2b62234d22b8c2bfe042	Who restores Unc Numkie and Dr. Pipt's wife?	The Wizard of Oz.; The Wizard of Oz.
26da72cfd563728fc90c2a808a9c6f076fa4e815	Why couldn't Carnegie read the bible?	It was in Braille; because it was in Braille
2744ec7751c610a232109e13740c308ad05c9ca0	Who does Ivanov shoot?	Himself.; Himself.
27994eab000073f6cdcd5f56f546e2525c33e9e5	Why does Nick get arrested?	For waving a gun in public.; For waving a gun in public.
27a423f9581c3156510cd1fbe62f85e857aa66f2	Who makes the proposal to kill Morpheus?	Tank; Tank
27ad3a0a84489109ca5d3cc4bf3b8b74a7b8ed9a	What does Dr. Crowe finally realize about Vincent shooting him? 	That Vincent actually killed him; That he died when he was shot. 
2819dab971e357cf6b3b919bb8ff8b838e0558dd	What lands Seymour in the hospital?	confronting Josh; he is injured while confronting Josh
28eb6b741d8facc2425a20e4c01592850206f0fd	What kind of worries did Lincoln hold about the Fugitive Slave Act?	Free blacks being kidnapped and sold back into slavery.; that it might make free blacks vulnerable to kidnapping and illegally being sold as slaves
291163d04045b7a50f6cfcb36f1541582d264208	As the story begins, where was Ford farlane? 	Sitting at the beach. ; sitting on a beach
291b589c77540bd33a3d12bfe28fc81f92c45d36	Who saves Utopia from the city?	Snake.; Snake 
295d5533ffd87d5ff68f51902e13559bac902085	Why does the narrator go to Venice?	to find Juliana Bordereau, an ex-love or Jeffrey Aspern; To find Juliana Bordereau.
2a5fa9ea07b66ac0c558f0148e79aa8f48d2d773	What happens to the bridge as Bartley is stopping the work crews?	It collapses; The bridge collapses
2b0d41cec61dc3b7faf7a011051cdbcacb55050b	Who does the killer think Lou is?	Nick; Nick
2b5468141ef0e57d4635249e7d9d9ff6039d18f4	Where does Oliver release the slaves he frees?	Italy. ; Italy
2b5d19eb7767f089cf6b5cee04106b964962eb00	Who steps on the land mine and is blown up by it?	Damien; Damien
2b7e8df77a6d154c5f957ffc6c9f40bc38ca3cde	Why does the Jedi council refuse to allow Qui-Gon to train Anakin to become a Jedi?	they are afraid he will fall to the dark side; they were concerned that Anakin was vulnerable to the dark side
2b9fe583527a8ceb95eea02144cd628a961c2ad4	What part of the body does Dil shoot and kill Jude?	the neck ; neck
2ba38d31381278d2ae8e90a2a3108debaef877bb	When was Rocky's coach a champion?	In the 1920's; 1920s
2bc8c9fca534939ab4208cb368064aff8c30c289	Who pretends to be a guard when they try to steal from the plane?	Pinky; Pinky
2c7a9ffe4c06039bd8fee47b6235443267863686	What are the three paint colors that are not banned in Plesantville?	Black, Gray & White; The three colors not banned are black, white and grey.
2c882e70f540d28c884fcedd83fc2c893c6dcbdf	What does Jennie do after her daughter passes away?	She adopts two orphans; Adopts 2 orphans and continues to love Kane.  
2c95f19262336fda469b8831a131c1a4fe31fd9b	How does Matthew die?	a heart attack; Heart attack.
2caed8cd33002af756cef1c108986384a0b7066b	What did Harold and Kamur ride after smoking marijuana?	A Cheetah.; An escaped cheetah. 
2cf851eeec79ada442b42d8d17d99cf24dbbb157	Who vomits and calls for her husband? 	Madame Overdo; Mrs Overdo
2d3b9c6a996dbf0372ad1242107bf0e2f4a845d7	Where does Holly finally give herself up to police?	Saskatchewan.; Saskatchewan.
2dd23dbf75e37c1f35eb8e2e317a36b7033495d0	Whom does the Dalai Lama meet in Beijing?	Chairman Mao Zedong; Chairman Mao Zedong
2e03ff57fd61c2777f0b937a5f127ddc8fdbf373	Who becomes a Sodomite soldier?	Cain.; Cain.
2e0ecbcbf69543a8d94e5391488ff4875174da74	What does Sarah give Toby?	Lancelot.; Teddy bear Lancelot
2e15003e58afe663f66622edbfc3d7d1c7c69a60	Why was Neff calling Phyllis' husband?	To inform him that his automobile insurance required renewal.; To remind him to renew his car insurance.
2e24e035fddb9b96430c9bb2cf45d44facac6fc8	What is Kelvin chopping up when he cuts his finger?	Vegetables.; vegetables
2e4f0851debe2ecf77de6a18d0007f176acbd78e	What does Peter have for supper?	He has chamomile tea.; chamomile tea
2ec273117d26cd70933849d2a74327d04865a790	What does the confessor nearly forget after 15 years?	The English language; The english language
2f52ade138d0da4921fc467bf836eb03b3891342	Which city is the crocodile taken to?	Portland, Maine; Portland
2fe5752889751cbb4bbeab3deba4f6e315f90f0a	What happens to allow 9's escape from the Cat Beast when 5's soul was taken?	5 pushed 9 into cover and confronted the Cat Beast.; 5 sacrificed itself to the Beast
3008d5b4f1072a80665533c5bfe7416e18693846	Who accompanies Barney on his journey from Lutha to Nebraska?	A soldier; One of his soldier friends
301cb14d65a257ef05cf122e2c0635b531d6e33c	When did Curdie develop the ability to see inside of a person?	after the old Princess burned his hands in a rose fire; After the princess burns his hands in a magic fire.
30337c485ea9d6d657be1ff17823e94b0a531550	In her rejection letter, what does Ruth write she wishes Eden had done?	Ruth writes that she wishes Eden had settled down and made something of himself.; settled down and made something of himself
3055c4d4f368f97c4c2a1a312a0f452a6814ad71	Where does Jack hide the heart?	In a jar of sand.; A JAR OF DIRT
307f5583cf63457100b2d3f616d669e03a501196	Who does Mandible send to retrieve the Princess Bala from Insectopia?	Cutter. ; Cutter
30b0d3485f9e627b64b0feb99a845547c28d970a	How long had Abe been clean from drugs when he relapsed?	Five years.; over five years
30e4ebaa85c10ecdea85e7e7fce9c8c3e86081dc	What did Edna's husband do when he was worried about her mental well-being?	Talked to a doctor about diagnosing her.; He spoke to a doctor about diagnosing her.
31113c23881024b862dad33f6a1aa4c37a2b7101	What did Martel do to destroy Blanco's reputation?	He used the worst takes from every scene.; Martel used the worst take of each scene in the film to ruin Blanco.
311862def6b1e7d1cdf16a9b797f554e1dce866f	Who does Tommy propose to? 	Dora; Dora.
317fe46b2903da739b059733cd618db6ca49a494	Ultimately who was trying to get the ransom money from Jeffery Lebowski?	Bunny's friends, the nihilists.; German nihilists, Bunny's friends.
